0,1,2
Contents,Contents,Page
Foreword..............................................................................................................................................................5,Foreword..............................................................................................................................................................5,Foreword..............................................................................................................................................................5
1,Scope ......................................................................................................................................................7,
2,Normative references ............................................................................................................................7,
3,Notation ..................................................................................................................................................7,
3.1,Use of figures.........................................................................................................................................7,
3.2,Subscripts and special marks..............................................................................................................7,
3.2.1,Subscripts ..............................................................................................................................................7,
3.2.2,Special marks.........................................................................................................................................9,
3.3,Symbols..................................................................................................................................................9,
3.4,Terminology ........................................................................................................................................,14
3.4.1,Flanges ................................................................................................................................................,14
3.4.2,Loading................................................................................................................................................,14
3.4.3,Load conditions ..................................................................................................................................,14
3.4.4,Compliances........................................................................................................................................,14
4,Requirements for use of the calculation method............................................................................,22
4.1,General.................................................................................................................................................,22
4.2,Geometry.............................................................................................................................................,22
4.3,Material ................................................................................................................................................,23
4.4,Loads ...................................................................................................................................................,23
5,Checking the assembly for a specified initial tightening bolt force (or torque) ..........................,23
6,Calculation parameters......................................................................................................................,24
6.1,General.................................................................................................................................................,24
6.2,Flange parameters..............................................................................................................................,24
6.2.1,General.................................................................................................................................................,24
6.2.2,Flange ring...........................................................................................................................................,25
6.2.3,Connected shell ..................................................................................................................................,26
6.2.4,Flexibility-related flange parameters ................................................................................................,27
6.3,Bolt and washer parameters..............................................................................................................,28
6.3.1,General.................................................................................................................................................,28
6.3.2,Effective cross-section area of bolts................................................................................................,28
6.3.3,Flexibility modulus of bolts ...............................................................................................................,28
6.3.4,Geometric parameters for washers and contact surfaces .............................................................,28
6.3.5,Flexibility modulus of washers .........................................................................................................,29
6.4 6.4.1,Gasket parameters ............................................................................................................................. General.................................................................................................................................................,29 29
6.4.2,Theoretical dimensions......................................................................................................................,29
6.4.3,Effective dimensions..........................................................................................................................,29
6.4.4,Axial flexibility modulus of gasket....................................................................................................,30
6.4.5,Lever arms...........................................................................................................................................,32
7,,
,Forces ..................................................................................................................................................,33
7.1,General.................................................................................................................................................,33
7.2 7.2.1,Applied loads ...................................................................................................................................... Assembly condition (I = 0) .................................................................................................................,33
7.2.2,,33
,"Subsequent conditions (I = 1, 2 …)...................................................................................................",33
7.3,Compliance of the joint ......................................................................................................................,34
7.4,Minimum forces necessary for the gasket.......................................................................................,35
7.4.1,Assembly condition (I = 0) .................................................................................................................,35
7.4.2 7.5,"Subsequent conditions ( I = 1, 2, ….) ................................................................................................ Internal forces in assembly condition (I = 0)....................................................................................",35 35
7.5.1,Required forces...................................................................................................................................,35
