Bolt size a.,d B0.,d Be b.,d Bs.c,d Bs.d
M6 x 1,6,"5,06",-,"5,3"
"M8 x 1,25",8,"6,83",-,"7,1"
"M10 x 1,5",10,"8,59",-,"9,0"
"M12 x 1,75",12,"10,36","8,5","10,8"
M14 x 2 e,14,"12,12","10,0","12,7 f"
M16 x 2,16,"14,12","12,0","14,7"
"M18 x 2,5 e",18,"15,65",-,"16,3 f"
"M20 x 2,5",20,"17,65","15,0","18,3"
"M22 x 2,5 e",22,"19,65",-,"20,3 f"
M24 x 3,24,"21,19","18,0","22,0"
M27 x 3,27,"24,19","20,5","25,0 f"
"M30 x 3,5",30,"26,72","23,0","27,7"
"M33 x 3,5 e",33,"29,72","25,5","30,7 f"
M36 x 4,36,"32,25","27,5","33,4"
M39 x 4,39,"35,25","30,5","36,4 f"
"M42 x 4,5",42,"37,78","32,5","39,0"
"M45 x 4,5",45,"40,78","35,5","42,0 f"
M48 x 5,48,"43,31","37,5","44,7"
M52 x 5,52,"47,31","41,0","48,7 f"
"M56 x 5,5",56,"50,84","44,0","52,4"
"M60 x 5,5 e",60,"54,84",-,"56,4"
M64 x 6,64,"58,37","51,0","60,1"
M68x 6 e,68,"62,37",-,"64,1"
M72 x 6,72,"66,37","58,5","68,1"
M76 x 6 e,76,"70,37",-,"72,1"
M80 x 6,80,"74,37","66,0","76,1"
M90 x 6,90,"84,37","75,0","86,1"
M100 x 6,100,"94,37","84,0","96,1"
