Gasket type and material,Q 0min MPa,m
Non-metallic flat gaskets (soft) and flat gaskets with metal insertion,,
Rubber,"0,5","0,9"
PTFE,10,"1,3"
Expanded PTFE (ePTFE),12,"1,3"
Expanded graphite without metal insertion,10,"1,3"
Expanded graphite with perforated metal insertion,15,"1,3"
Expanded graphite with adhesive flat metal insertion,10,"1,3"
Expanded graphite with metallic sheet laminated in thin layers with standing high stresses,15,"1,3"
Non asbestos fibre with binder (thickness < 1mm),40,"1,6"
Non asbestos fibre with binder (thickness >= 1mm),35,"1,6"
Grooved steel gaskets with soft layers on both sides,,
PTFE layers on soft steel,10,"1,3"
PTFE layers on stainless steel,10,"1,3"
Graphite layers on soft steel,15,"1,3"
Graphite layers on low alloy heat resistant steel,15,"1,3"
Graphite layers on stainless steel,15,"1,3"
Silver layers on heat resistant stainless steel,125,"1,8"
Spiral wound gaskets with soft filler,,
"Spiral wound gaskets with PTFE filler, outer support-ring only",20,"1,6"
"Spiral wound gaskets with PTFE filler, inner and outer support-rings",20,"1,6"
"Spiral wound gaskets with graphite filler, outer support-ring only",20,"1,6"
"Spiral wound gaskets with graphite filler, inner and outer support-rings",50,"1,6"
Solid metal gaskets,,
Aluminium (Al) (soft),50,"2,0"
Copper (cu) or brass (soft)),100,"2,0"
Iron (Fe) (soft),175,"2,0"
Steel (soft),200,"2,0"
"Steel, low alloy, heat resistant",225,"2,0"
Stainless steel,250,"2,0"
"Stainless steel, heat resistant",300,"2,0"
Covered metal-jacketed gaskets,,
Soft iron or steel jacket with graphite filler and covering,20,"1,3"
Low alloy steel (4 %to 6 %chrome) or stainless steel jacket with graphite filler and covering,20,"1,3"
Stainless steel jacket with expanded PTFE filler and covering,10,"1,3"
Nickel alloy jacket with expanded PTFE filler and covering,10,"1,3"
Metal-jacketed gaskets,,
Aluminium (soft) jacket with graphite filler,50,"1,6"
Copper or brass (soft) jacket with graphite filler,60,"1,8"
Soft iron or steel jacket with graphite filler,80,"2,0"
Low alloy steel (4 %to 6 %chrome) or stainless steel jacket with graphite filler,100,"2,2"
